phrase_id,sent_id,sent,ground,three-scale,five-scale,vector,three-scale,five-scale
102340,4860,", The Sum of All Fears is simply a well-made and satisfying thriller .",0.88889,positive,positive,,,
221244,7251,", `` They 're out there ! ''",0.61111,neutral,positive,,,
221388,5477,", is a temporal inquiry that shoulders its philosophical burden lightly .",0.69444,positive,positive,,,
221714,5576,- I also wanted a little alien as a friend !,0.69444,positive,positive,,,
221716,2338,"- West Coast rap wars , this modern mob music drama never fails to fascinate .",0.76389,positive,positive,,,
142685,7166,- greaseballs mob action-comedy .,0.36111,neutral,negative,,,
221720,11305,- spy action flick with Antonio Banderas and Lucy Liu never comes together .,0.16667,negative,very negative,,,
221722,11409,"- style cross-country adventure ... it has sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack .",0.70833,positive,positive,,,
221739,7163,-- but certainly hard to hate .,0.61111,neutral,positive,,,
221741,2732,-- but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,0.81944,positive,positive,,,
221750,6580,-- is a crime that should be punishable by chainsaw .,0.27778,negative,negative,,,
221754,7778,-- that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen .,0.22222,negative,negative,,,
221761,10865,-- was a fad that had long since vanished .,0.41667,neutral,neutral,,,
13691,11623,"-LRB- A -RRB- rare , beautiful film .",0.95833,positive,positive,,,
13695,224,"-LRB- Drumline -RRB- is entertaining for what it does , and admirable for what it does n't do .",0.73611,positive,positive,,,
13696,145,"-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",0.77778,positive,positive,,,
13697,14,"-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind .",0.65278,neutral,positive,,,
24114,961,... Blade II is more enjoyable than the original .,0.91667,positive,positive,,,
181282,11495,"... Blade II is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves .",0.16667,negative,very negative,,,
221765,1550,"... Brian De Palma is utterly mad : cinema mad , set-piece mad , style mad .",0.58333,neutral,neutral,,,
221766,7900,"... Designed to provide a mix of smiles and tears , `` Crossroads '' instead provokes a handful of unintentional howlers and numerous yawns .",0.22222,negative,negative,,,
62545,3019,"... Despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '",0.77778,positive,positive,,,
142763,7929,... Hudlin is stuck trying to light a fire with soggy leaves .,0.375,neutral,negative,,,
103179,5877,"... Ice Age treads predictably along familiar territory , making it a passable family film that wo n't win many fans over the age of 12 .",0.43056,neutral,neutral,,,
221767,148,... In this incarnation its fizz is infectious .,0.84722,positive,positive,,,
103180,5998,"... Jones , despite a definitely distinctive screen presence , just is n't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead 's specific gifts .",0.55556,neutral,neutral,,,
221768,9890,... Liotta is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario .,0.27778,negative,negative,,,
